,,int,str,float,int,int,int,int,int,float,float,int,int,int,int,int,int,int,float
0,,¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
98,2013,2,·Ôµ¥,3.93,128,66,58,38,64,0.532,1149.1,1148,84,489,62,820,553,502,1.42
99,2013,3,NC,3.96,128,52,72,26,31,0.419,1144.1,1077,96,458,94,857,551,503,1.34
100,2013,4,»ï¼º,3.98,128,75,51,31,49,0.595,1146.2,1119,98,411,60,955,545,507,1.33
101,2013,5,³Ø¼¾,4.12,128,72,54,50,70,0.571,1146.1,1160,75,503,84,860,576,525,1.45
102,2013,6,SK,4.16,128,62,63,31,38,0.496,1139,1091,101,505,70,878,571,527,1.4
103,2013,7,µÎ»ê,4.57,128,71,54,30,42,0.568,1150.1,1183,84,514,76,848,625,584,1.48
104,2013,8,KIA,5.12,128,51,74,32,50,0.408,1142.1,1307,88,532,76,923,711,650,1.61
105,2013,9,ÇÑÈ­,5.31,128,42,85,22,34,0.331,1129,1195,98,532,95,822,711,666,1.53
106,2014,1,NC,4.29,128,70,57,31,59,0.551,1135.2,1174,117,481,73,848,608,541,1.46
107,2014,2,»ï¼º,4.52,128,78,47,35,65,0.624,1144,1217,120,395,61,996,621,575,1.41
108,2014,3,LG,4.58,128,62,64,35,65,0.492,1142.2,1211,104,419,95,810,643,581,1.43
109,2014,4,·Ôµ¥,5.19,128,58,69,28,64,0.457,1133.1,1310,127,471,52,781,719,654,1.57
110,2014,5,³Ø¼¾,5.25,128,78,48,35,55,0.619,1131.2,1299,142,516,61,901,716,660,1.6
111,2014,6,µÎ»ê,5.43,128,59,68,19,61,0.465,1123.2,1311,121,450,58,840,733,678,1.57
112,2014,7,SK,5.51,128,61,65,26,44,0.484,1129.1,1271,153,522,68,837,760,692,1.59
113,2014,8,KIA,5.82,128,54,74,26,40,0.422,1121.2,1289,116,561,67,896,788,725,1.65
114,2014,9,ÇÑÈ­,6.35,128,49,77,26,30,0.389,1129,1451,162,537,81,748,889,796,1.76
115,2015,1,NC,4.26,144,84,57,37,55,0.596,1279.1,1283,149,436,113,1057,655,605,1.34
116,2015,2,LG,4.62,144,64,78,25,44,0.451,1279.2,1352,125,490,98,1063,721,657,1.44
117,2015,3,»ï¼º,4.69,144,88,56,34,60,0.611,1275.1,1323,182,423,64,1194,716,665,1.37
